# sigma =  10.0000000, rho = 28.0000000, beta = 2.66666675
# t0 = 0.00000000, tf = 200.000000, step_size = 0.999999978E-2
t,x,y,z
    0.000000,  1.00000000E+00,  1.00000000E+00,  1.00000000E+00
    0.010000,  1.01258647E+00,  1.25992095E+00,  9.84899819E-01
    0.020000,  1.04880869E+00,  1.52400672E+00,  9.73126709E-01
    0.030000,  1.10711527E+00,  1.79831588E+00,  9.65169668E-01
    0.040000,  1.18665743E+00,  2.08852172E+00,  9.61739659E-01
    0.050000,  1.28719389E+00,  2.40008116E+00,  9.63791907E-01
    0.060000,  1.40901995E+00,  2.73837876E+00,  9.72566485E-01
    0.070000,  1.55291581E+00,  3.10884690E+00,  9.89647210E-01
    0.080000,  1.72011006E+00,  3.51706767E+00,  1.01704073E+00
    0.090000,  1.91225553E+00,  3.96885633E+00,  1.05727816E+00
    0.100000,  2.13141465E+00,  4.47032547E+00,  1.11354291E+00
    0.110000,  2.38005114E+00,  5.02792645E+00,  1.18983018E+00
    0.120000,  2.66102529E+00,  5.64846373E+00,  1.29114354E+00
    0.130000,  2.97758913E+00,  6.33906889E+00,  1.42373455E+00
    0.140000,  3.33337760E+00,  7.10712528E+00,  1.59539175E+00
    0.150000,  3.73238993E+00,  7.96011782E+00,  1.81578374E+00
    0.160000,  4.17895460E+00,  8.90538406E+00,  2.09685826E+00
    0.170000,  4.67766762E+00,  9.94972515E+00,  2.45329404E+00
    0.180000,  5.23329067E+00,  1.10988321E+01,  2.90298820E+00
    0.190000,  5.85059547E+00,  1.23564625E+01,  3.46755147E+00
    0.200000,  6.53412771E+00,  1.37233047E+01,  4.17274570E+00
    0.210000,  7.28787088E+00,  1.51954403E+01,  5.04876804E+00
    0.220000,  8.11476994E+00,  1.67623577E+01,  6.13021803E+00
    0.230000,  9.01609325E+00,  1.84044704E+01,  7.45551586E+00
    0.240000,  9.99059105E+00,  2.00902004E+01,  9.06545067E+00
    0.250000,  1.10334463E+01,  2.17728271E+01,  1.10004597E+01
    0.260000,  1.21350222E+01,  2.33875561E+01,  1.32962036E+01
    0.270000,  1.32794895E+01,  2.48495693E+01,  1.59770927E+01
    0.280000,  1.44434776E+01,  2.60542831E+01,  1.90477219E+01
    0.290000,  1.55950375E+01,  2.68812847E+01,  2.24828110E+01
    0.300000,  1.66933060E+01,  2.72034779E+01,  2.62172146E+01
    0.310000,  1.76893597E+01,  2.69022980E+01,  3.01387978E+01
    0.320000,  1.85287037E+01,  2.58881931E+01,  3.40878983E+01
    0.330000,  1.91556511E+01,  2.41230774E+01,  3.78669548E+01
    0.340000,  1.95193195E+01,  2.16388626E+01,  4.12619095E+01
    0.350000,  1.95804043E+01,  1.85449944E+01,  4.40730400E+01
    0.360000,  1.93173084E+01,  1.50197821E+01,  4.61482735E+01
    0.370000,  1.87300377E+01,  1.12853689E+01,  4.74093170E+01
    0.380000,  1.78407288E+01,  7.57244682E+00,  4.78622475E+01
    0.390000,  1.66905975E+01,  4.08493710E+00,  4.75896111E+01
    0.400000,  1.53341522E+01,  9.74362373E-01,  4.67278404E+01
    0.410000,  1.38321724E+01, -1.67094302E+00,  4.54382744E+01
    0.420000,  1.22450619E+01, -3.82248354E+00,  4.38803825E+01
    0.430000,  1.06276808E+01, -5.49886322E+00,  4.21928329E+01
    0.440000,  9.02614975E+00, -6.74949217E+00,  4.04839401E+01
    0.450000,  7.47651911E+00, -7.63933325E+00,  3.88300323E+01
    0.460000,  6.00487518E+00, -8.23714352E+00,  3.72789536E+01
    0.470000,  4.62836361E+00, -8.60781097E+00,  3.58559303E+01
    0.480000,  3.35665727E+00, -8.80825520E+00,  3.45698433E+01
    0.490000,  2.19353580E+00, -8.88591003E+00,  3.34187851E+01
    0.500000,  1.13836598E+00, -8.87883091E+00,  3.23944283E+01
    0.510000,  1.87377572E-01, -8.81665993E+00,  3.14851971E+01
    0.520000, -6.65296435E-01, -8.72193146E+00,  3.06783810E+01
    0.530000, -1.42681003E+00, -8.61141872E+00,  2.99614716E+01
    0.540000, -2.10499406E+00, -8.49735165E+00,  2.93229103E+01
    0.550000, -2.70791292E+00, -8.38845444E+00,  2.87524529E+01
    0.560000, -3.24355292E+00, -8.29078102E+00,  2.82412872E+01
    0.570000, -3.71960878E+00, -8.20838070E+00,  2.77820034E+01
    0.580000, -4.14334965E+00, -8.14380455E+00,  2.73684883E+01
    0.590000, -4.52153540E+00, -8.09849358E+00,  2.69957809E+01
    0.600000, -4.86037588E+00, -8.07306671E+00,  2.66599121E+01
    0.610000, -5.16551733E+00, -8.06754017E+00,  2.63577557E+01
    0.620000, -5.44204617E+00, -8.08148575E+00,  2.60868912E+01
    0.630000, -5.69450569E+00, -8.11414528E+00,  2.58454800E+01
    0.640000, -5.92692280E+00, -8.16451740E+00,  2.56321507E+01
    0.650000, -6.14283514E+00, -8.23141670E+00,  2.54459171E+01
    0.660000, -6.34532452E+00, -8.31351280E+00,  2.52860870E+01
    0.670000, -6.53704548E+00, -8.40936279E+00,  2.51522045E+01
    0.680000, -6.72025919E+00, -8.51742363E+00,  2.50439835E+01
    0.690000, -6.89685965E+00, -8.63606739E+00,  2.49612560E+01
    0.700000, -7.06840134E+00, -8.76358414E+00,  2.49039288E+01
    0.710000, -7.23612499E+00, -8.89818478E+00,  2.48719349E+01
    0.720000, -7.40097952E+00, -9.03800297E+00,  2.48652000E+01
    0.730000, -7.56364107E+00, -9.18109512E+00,  2.48835983E+01
    0.740000, -7.72453356E+00, -9.32544422E+00,  2.49269199E+01
    0.750000, -7.88384485E+00, -9.46896267E+00,  2.49948311E+01
    0.760000, -8.04154396E+00, -9.60950375E+00,  2.50868416E+01
    0.770000, -8.19739532E+00, -9.74487400E+00,  2.52022724E+01
    0.780000, -8.35097504E+00, -9.87284946E+00,  2.53402233E+01
    0.790000, -8.50168800E+00, -9.99120426E+00,  2.54995441E+01
    0.800000, -8.64878464E+00, -1.00977383E+01,  2.56788139E+01
    0.810000, -8.79137993E+00, -1.01903162E+01,  2.58763237E+01
    0.820000, -8.92847347E+00, -1.02669077E+01,  2.60900612E+01
    0.830000, -9.05897427E+00, -1.03256378E+01,  2.63177109E+01
    0.839999, -9.18172550E+00, -1.03648338E+01,  2.65566673E+01
    0.849999, -9.29553413E+00, -1.03830805E+01,  2.68040485E+01
    0.859999, -9.39919758E+00, -1.03792696E+01,  2.70567322E+01
    0.869999, -9.49153996E+00, -1.03526459E+01,  2.73113937E+01
    0.879999, -9.57144451E+00, -1.03028498E+01,  2.75645695E+01
    0.889999, -9.63788509E+00, -1.02299471E+01,  2.78127174E+01
    0.899999, -9.68996239E+00, -1.01344490E+01,  2.80522919E+01
    0.909999, -9.72693253E+00, -1.00173149E+01,  2.82798233E+01
    0.919999, -9.74823475E+00, -9.87994576E+00,  2.84920006E+01
    0.929999, -9.75351620E+00, -9.72415447E+00,  2.86857529E+01
    0.939999, -9.74264812E+00, -9.55212498E+00,  2.88583202E+01
    0.949999, -9.71573734E+00, -9.36635590E+00,  2.90073204E+01
    0.959999, -9.67313290E+00, -9.16959190E+00,  2.91308002E+01
    0.969999, -9.61542130E+00, -8.96475029E+00,  2.92272739E+01
    0.979999, -9.54341507E+00, -8.75484085E+00,  2.92957420E+01
    0.989999, -9.45813942E+00, -8.54288387E+00,  2.93356991E+01
    0.999999, -9.36080551E+00, -8.33183575E+00,  2.93471184E+01
    1.009999, -9.25278759E+00, -8.12451935E+00,  2.93304253E+01
    1.019999, -9.13558674E+00, -7.92356348E+00,  2.92864609E+01
    1.029999, -9.01080227E+00, -7.73135614E+00,  2.92164326E+01
    1.039999, -8.88009453E+00, -7.55000877E+00,  2.91218586E+01
    1.049999, -8.74515343E+00, -7.38133669E+00,  2.90045109E+01
    1.059999, -8.60766602E+00, -7.22684813E+00,  2.88663616E+01
    1.069999, -8.46928787E+00, -7.08774710E+00,  2.87095222E+01
    1.079999, -8.33161640E+00, -6.96494675E+00,  2.85361958E+01
    1.089999, -8.19616985E+00, -6.85908651E+00,  2.83486328E+01
    1.099999, -8.06437302E+00, -6.77055883E+00,  2.81490936E+01
    1.109999, -7.93753815E+00, -6.69953632E+00,  2.79398117E+01
    1.119999, -7.81686163E+00, -6.64600420E+00,  2.77229767E+01
    1.129999, -7.70341587E+00, -6.60978842E+00,  2.75007114E+01
    1.139999, -7.59814739E+00, -6.59058523E+00,  2.72750607E+01
    1.149999, -7.50187922E+00, -6.58798838E+00,  2.70479832E+01
    1.159999, -7.41531277E+00, -6.60151196E+00,  2.68213520E+01
    1.169999, -7.33903360E+00, -6.63061190E+00,  2.65969486E+01
    1.179999, -7.27351665E+00, -6.67470169E+00,  2.63764744E+01
    1.189999, -7.21913528E+00, -6.73316479E+00,  2.61615448E+01
    1.199999, -7.17616701E+00, -6.80536318E+00,  2.59537048E+01
    1.209999, -7.14480162E+00, -6.89064407E+00,  2.57544308E+01
    1.219999, -7.12514782E+00, -6.98833990E+00,  2.55651321E+01
    1.229999, -7.11723948E+00, -7.09776926E+00,  2.53871632E+01
    1.239999, -7.12104225E+00, -7.21823215E+00,  2.52218246E+01
    1.249999, -7.13645697E+00, -7.34900331E+00,  2.50703678E+01
    1.259999, -7.16332340E+00, -7.48932600E+00,  2.49339943E+01
    1.269999, -7.20142269E+00, -7.63840055E+00,  2.48138599E+01
    1.279999, -7.25047874E+00, -7.79537439E+00,  2.47110691E+01
    1.289999, -7.31015682E+00, -7.95933056E+00,  2.46266689E+01
    1.299999, -7.38006401E+00, -8.12927532E+00,  2.45616474E+01
    1.309999, -7.45974636E+00, -8.30412674E+00,  2.45169182E+01
    1.319999, -7.54868460E+00, -8.48270416E+00,  2.44933109E+01
    1.329999, -7.64629173E+00, -8.66371727E+00,  2.44915543E+01
    1.339999, -7.75190878E+00, -8.84575844E+00,  2.45122585E+01
    1.349999, -7.86479902E+00, -9.02729893E+00,  2.45558929E+01
    1.359999, -7.98414469E+00, -9.20668697E+00,  2.46227608E+01
    1.369999, -8.10904312E+00, -9.38214874E+00,  2.47129765E+01
    1.379999, -8.23850250E+00, -9.55179882E+00,  2.48264351E+01
    1.389999, -8.37144089E+00, -9.71365261E+00,  2.49627857E+01
    1.399999, -8.50668716E+00, -9.86564732E+00,  2.51213989E+01
    1.409999, -8.64298153E+00, -1.00056705E+01,  2.53013477E+01
    1.419999, -8.77898312E+00, -1.01315928E+01,  2.55013790E+01
    1.429999, -8.91327477E+00, -1.02413130E+01,  2.57198963E+01
    1.439999, -9.04437828E+00, -1.03328066E+01,  2.59549522E+01
    1.449999, -9.17076778E+00, -1.04041786E+01,  2.62042427E+01
    1.459999, -9.29089260E+00, -1.04537258E+01,  2.64651203E+01
    1.469999, -9.40319633E+00, -1.04799957E+01,  2.67346134E+01
